run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
2_INFO_DOWN_regression_ImageNet_hue_ResNet34_ImageNet,ImageNet,BrightnessShift100,hue,491.27091217041016,3118.099853515625,-2626.828941345215
2_INFO_DOWN_regression_ImageNet_saturation_ResNet34_ImageNet,ImageNet,BrightnessShift100,saturation,671.6119155883789,8742.4052734375,-8070.793357849121
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift25,saturation,1025.1663818359375,8283.009765625,-7257.8433837890625
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift25,brightness,886.0879211425781,19039.783203125,-18153.695281982422
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift50,saturation,1025.1663818359375,8872.21484375,-7847.0484619140625
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift50,brightness,886.0879211425781,19548.53125,-18662.443328857422
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift75,saturation,1025.1663818359375,9630.6416015625,-8605.475219726562
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift75,brightness,886.0879211425781,19357.783203125,-18471.695281982422
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift100,saturation,1025.1663818359375,7656.5537109375,-6631.3873291015625
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift100,brightness,886.0879211425781,19564.49609375,-18678.408172607422
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift25,hue,509.3946723937988,5266.63671875,-4757.242046356201
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift25,brightness,886.0879211425781,19751.013671875,-18864.925750732422
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift50,hue,509.3946723937988,4058.189697265625,-3548.795024871826
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift50,brightness,886.0879211425781,18017.8984375,-17131.810516357422
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift75,hue,509.3946723937988,2664.998291015625,-2155.603618621826
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift75,brightness,886.0879211425781,18192.263671875,-17306.175750732422
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift100,hue,509.3946723937988,3141.5517578125,-2632.157085418701
2_INFO_DOWN_regression_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift100,brightness,886.0879211425781,19266.203125,-18380.115203857422
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift25,hue,509.3946723937988,2077.32421875,-1567.9295463562012
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift25,saturation,1025.1663818359375,570.7974243164062,454.36895751953125
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift50,hue,509.3946723937988,2077.32421875,-1567.9295463562012
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift50,saturation,1025.1663818359375,570.7974243164062,454.36895751953125
