run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,SaturationShift100,hue,742.8072891235352,690.6119889200027,52.1953002035325
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,SaturationShift100,brightness,1240.7813110351562,1293.5465884811977,-52.76527744604141
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,BrightnessShift25,hue,742.8072891235352,2391.528715886467,-1648.721426762932
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,BrightnessShift25,saturation,1971.9610443115234,6020.063494197103,-4048.1024498855795
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,BrightnessShift50,hue,742.8072891235352,2391.528715886467,-1648.721426762932
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,BrightnessShift50,saturation,1971.9610443115234,6020.063494197103,-4048.1024498855795
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,BrightnessShift75,hue,742.8072891235352,819.18845934169,-76.38117021815481
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,BrightnessShift75,saturation,1971.9610443115234,2265.205199080048,-293.24415476852437
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,BrightnessShift100,hue,742.8072891235352,701.4718122986854,41.33547682484971
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,BrightnessShift100,saturation,1971.9610443115234,1896.3456983704716,75.61534594105183
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift25,saturation,4256.719818115234,3194.7376816186497,1061.9821364965846
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift25,brightness,9344.4794921875,6664.263044061339,2680.2164481261607
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift50,saturation,4256.719818115234,3531.1078906422854,725.611927472949
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift50,brightness,9344.4794921875,7444.857452999175,1899.6220391883253
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift75,saturation,4256.719818115234,3579.766550956775,676.9532671584593
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift75,brightness,9344.4794921875,7495.051991373938,1849.427500813562
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,HueShift100,saturation,4256.719818115234,3225.090377457946,1031.6294406572883
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,HueShift100,brightness,9344.4794921875,6664.1281093547095,2680.3513828327905
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift25,hue,1267.3290176391602,1174.0340803906026,93.29493724855752
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift25,brightness,9344.4794921875,7025.159046759841,2319.3204454276593
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift50,hue,1267.3290176391602,1197.9185312384884,69.41048640067174
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift50,brightness,9344.4794921875,7070.4605807270345,2274.0189114604655
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift75,hue,1267.3290176391602,1247.5019163006377,19.827101338522425
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift75,brightness,9344.4794921875,8421.528033617024,922.9514585704765
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,SaturationShift100,hue,1267.3290176391602,1251.9503929491957,15.378624689964454
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet50_ImageNet,ImageNet,SaturationShift100,brightness,9344.4794921875,8524.411622604353,820.0678695831466
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift25,hue,1267.3290176391602,1557.0392150039931,-289.710197364833
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift25,saturation,4256.719818115234,4749.217291316468,-492.49747320123333
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift50,hue,1267.3290176391602,1557.0392150039931,-289.710197364833
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift50,saturation,4256.719818115234,4749.217291316468,-492.49747320123333
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift75,hue,1267.3290176391602,1267.7971097726042,-0.4680921334440882
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift75,saturation,4256.719818115234,4053.9322215664147,202.7875965488197
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift100,hue,1267.3290176391602,1244.739542735496,22.589474903664268
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift100,saturation,4256.719818115234,4024.710706925989,232.00911118924523
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift25,saturation,4478.7445068359375,4216.86561735978,261.8788894761574
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift25,brightness,7914.033386230469,5699.513762719357,2214.5196235111116
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift50,saturation,4478.7445068359375,4282.131334691394,196.61317214454357
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift50,brightness,7914.033386230469,6302.834835069726,1611.1985511607427
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift75,saturation,4478.7445068359375,4385.220064943939,93.52444189199832
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift75,brightness,7914.033386230469,6406.099177914446,1507.9342083160227
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift100,saturation,4478.7445068359375,4377.670301968524,101.07420486741375
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift100,brightness,7914.033386230469,5772.17580124969,2141.8575849807785
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift25,hue,1387.7802734375,1369.5085130130622,18.271760424437844
