transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,42.30535,4.039688,0.91007197
0.32487187,27.2292,2.0151114,0.9509488
0.8966777,125.06475,7.322188,0.7471502
0.42165652,64.725525,4.770721,0.8551286
0.59095347,106.271164,7.839267,0.6106335
0.106682196,10.583584,1.1456625,0.98798627
0.17882918,13.737855,1.9298109,0.97871244
0.03588773,22.477938,1.4529855,0.9819039
0.42437083,173.95148,7.7134385,0.8771497
0.98892003,264.95972,14.377219,0.2545951
0.8738732,101.766266,6.803697,0.8268697
0.63290894,31.495493,4.7657104,0.788142
0.8610965,128.47711,8.041251,0.8195772
0.5941694,34.796383,2.9093287,0.9335095
0.36876887,46.70807,4.5470605,0.8090735
0.1735464,127.5857,6.6569366,0.8897648
0.65304875,14.626935,1.3626761,0.9867762
0.19305128,90.04981,5.5458198,0.8570773
0.4174284,21.281744,4.1094875,0.8594218
0.82580185,92.07612,7.4843183,0.70878613
0.1292293,81.760185,4.554805,0.8927237
0.12902142,30.650776,3.1297793,0.9388647
0.22440241,63.351585,4.903445,0.83311117
0.5519173,78.21048,4.781854,0.8529688
0.25172347,24.673002,2.9021087,0.9033358
0.5031979,89.59714,6.1225166,0.8340664
0.3019826,54.655373,4.8266907,0.8404894
0.5062422,84.50898,6.983362,0.77064687
0.27763146,50.30483,4.602956,0.90884167
0.98001236,124.775116,8.90041,0.6356535
0.4927179,63.73785,5.4879208,0.8581852
0.74364346,143.45377,10.526929,0.6330502
0.70054656,44.342403,4.204173,0.7890532
0.49055937,47.769615,4.244748,0.88053834
0.23886207,98.022606,6.9233336,0.8632145
0.5107183,72.763916,4.7497597,0.86850333
0.6809716,127.09717,7.281019,0.843061
0.45991927,52.669167,4.978024,0.8212176
0.08192511,26.481792,2.6798687,0.93070096
0.01798323,8.25849,0.95634174,0.9963581
0.3278768,77.88565,4.4287105,0.94273335
0.15022393,47.378105,3.852676,0.911368
0.9061902,145.39401,9.962051,0.62431467
0.17583267,84.568275,5.1755753,0.882903
0.39428273,208.05194,10.46212,0.7801479
0.7120775,109.059364,6.204468,0.80945754
0.81542164,88.82661,6.696534,0.6614589
0.47771317,185.08353,9.373921,0.7905773
0.18113501,34.793144,2.1198246,0.9699428
0.2708952,56.300682,3.4828105,0.9225439
0.41896844,153.96214,8.219156,0.8276124
0.36459458,48.905037,5.0328035,0.85548925
0.34867275,36.715885,2.2623816,0.97072315
0.1318538,6.4513927,1.0508246,0.99246526
0.9133102,168.98535,9.828794,0.6692039
0.029756606,47.126213,2.6099641,0.971961
0.4400021,33.922123,2.9563634,0.9522948
0.98032147,73.40645,5.8978643,0.8174888
0.65972394,31.993687,3.8065636,0.866082
0.35541067,21.092031,2.152004,0.9854319
0.14609759,48.24568,4.5594625,0.9290932
0.9638726,134.90804,10.359113,0.4974836
