transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,78.72444,3.6145773,0.9644499
0.32487187,50.805786,2.3105702,0.9824054
0.8966777,255.97632,11.610874,0.7515551
0.42165652,195.29309,8.863204,0.88738596
0.59095347,369.88043,16.76797,0.611351
0.106682196,24.980783,1.1500454,0.99509317
0.17882918,36.479065,1.6498473,0.99080753
0.03588773,34.741478,1.6015992,0.99354553
0.42437083,225.83934,10.456398,0.86226386
0.98892003,495.2187,23.15469,0.00040146522
0.8738732,104.44701,4.7289762,0.926384
0.63290894,112.71962,5.2155385,0.9137334
0.8610965,234.87473,10.719132,0.8409951
0.5941694,69.11902,3.1441002,0.9642634
0.36876887,126.5242,5.7195873,0.90835154
0.1735464,130.2558,5.911741,0.9512652
0.65304875,57.637726,2.6766212,0.9796239
0.19305128,114.37269,5.23933,0.950385
0.4174284,125.92462,5.763193,0.9070859
0.82580185,201.05716,9.278225,0.8526109
0.1292293,119.02057,5.507067,0.95987076
0.12902142,82.46744,3.8036165,0.96504974
0.22440241,128.85876,5.875828,0.89985335
0.5519173,214.49359,9.78618,0.8172375
0.25172347,87.52521,4.2196937,0.94095755
0.5031979,184.57481,8.420059,0.8977649
0.3019826,161.63148,7.4164634,0.87236595
0.5062422,174.79526,7.922749,0.82058156
0.27763146,116.89683,5.555314,0.92822146
0.98001236,339.6682,15.532991,0.630767
0.4927179,134.63239,6.0274096,0.94601405
0.74364346,326.2716,14.785036,0.6740844
0.70054656,96.365204,4.4370008,0.9404683
0.49055937,78.310104,3.577176,0.9603261
0.23886207,252.37369,11.676754,0.8011364
0.5107183,103.45281,4.671167,0.95039666
0.6809716,221.40826,10.193124,0.86116326
0.45991927,96.5726,4.4147644,0.9406936
0.08192511,32.746037,1.4990551,0.9932556
0.01798323,11.758771,0.5280491,0.99946344
0.3278768,130.28801,5.914644,0.9358296
0.15022393,57.874847,2.651608,0.9836364
0.9061902,176.70816,8.071064,0.86269283
0.17583267,158.6782,7.202521,0.9235029
0.39428273,330.04926,15.285336,0.6650493
0.7120775,288.14658,13.476669,0.7754221
0.81542164,169.58063,7.640804,0.8568846
0.47771317,337.37915,15.406282,0.6913098
0.18113501,24.076143,1.1052848,0.9973037
0.2708952,96.63075,4.4718146,0.9529544
0.41896844,124.5992,5.684122,0.9563941
0.36459458,151.4989,6.915174,0.9082325
0.34867275,87.949905,4.0785813,0.95990443
0.1318538,22.529312,1.0358636,0.996457
0.9133102,378.3832,17.75656,0.52334565
0.029756606,20.73418,0.95922154,0.997416
0.4400021,58.426476,2.63366,0.9820167
0.98032147,210.74963,9.715431,0.7663283
0.65972394,117.55084,5.3699336,0.92269546
0.35541067,61.2405,2.8349676,0.9768992
0.14609759,103.69958,4.7061276,0.94637966
0.9638726,336.51587,15.659024,0.532495
0.013986362,21.925274,1.0263083,0.9976203
0.68138754,299.89117,13.870231,0.755617
0.88013744,210.10999,9.638168,0.81685597
0.02516049,25.245667,1.1719432,0.99758893
0.72517484,123.328186,5.638112,0.94403666
0.99883777,508.86694,23.067507,0.089951456
0.6396425,216.90613,10.036732,0.8680815
0.41467896,209.08452,9.502662,0.87954867
0.87440073,186.48991,8.415675,0.82782
0.55417925,130.69666,5.9674587,0.95165217
0.74944085,118.98324,5.4611483,0.9197816
0.587779,367.6457,16.986082,0.6098806
0.038291093,36.581734,1.6788094,0.99375355
0.21314499,100.34457,4.5279455,0.9459997
0.078763574,38.30391,1.7593552,0.9904176
0.10668776,98.42125,4.5298395,0.9743804
0.015405494,35.98654,1.6709976,0.9945521
0.421165,112.81399,5.188696,0.9284999
0.17865163,67.96422,3.094448,0.98355514
0.8556965,200.00903,9.187331,0.8263291
0.75003755,250.5756,11.622458,0.82512426
0.573177,273.52814,12.711034,0.6876378
0.48902133,100.78893,4.5187654,0.9294594
0.25586864,69.413055,3.176042,0.9738948
0.47495148,89.278656,4.0471606,0.9596495
0.6412293,137.68109,6.562869,0.8772316
0.7822289,100.989586,4.6236224,0.93701416
0.08168206,44.420074,2.0391712,0.98870575
0.7084647,127.3489,5.7415385,0.8912591
0.7427299,103.95143,4.7806478,0.9403662
0.5589722,221.60849,10.044543,0.8265133
0.2143192,48.08772,2.2217903,0.98324645
0.5391846,104.48347,4.774426,0.9214862
0.50270486,120.189026,5.374838,0.91952765
0.4757101,211.98273,9.868521,0.824919
